region,count,sum,average
0,106,5379.110840,50.746330
1,95,4777.990234,50.294636
2,92,4937.490234,53.668373
3,83,4528.552734,54.560875
4,81,4027.770508,49.725563
5,100,5369.618652,53.696186
6,102,5863.710449,57.487358
7,108,5916.703125,54.784286
8,98,5191.556152,52.975063
9,79,3690.658691,46.717197
10,100,4933.850586,49.338505
11,97,5260.833008,54.235394
12,102,5425.394531,53.190144
13,94,4946.992188,52.627575
14,103,5577.510254,54.150585
15,88,4408.564941,50.097328
16,102,5713.279785,56.012547
17,96,4930.421875,51.358562
18,88,4919.774414,55.906528
19,77,3986.186035,51.768650
20,123,6569.985840,53.414520
21,87,4618.700195,53.088509
22,94,4897.291016,52.098839
23,101,5947.714844,58.888268
24,98,5229.349121,53.360706
25,98,5374.594238,54.842800
26,88,4505.449707,51.198292
27,92,4901.213867,53.274063
28,83,4386.082031,52.844360
29,111,5897.743652,53.132824
30,94,5170.128906,55.001369
31,85,4287.634766,50.442760
32,94,5472.584961,58.218990
33,193,10630.146484,55.078480
34,101,5028.570312,49.787827
35,104,6274.649414,60.333168
36,92,4921.275879,53.492130
37,101,5262.368164,52.102654
38,88,4458.554199,50.665390
39,87,5126.032715,58.919918
40,89,4714.058594,52.966949
41,81,3924.409912,48.449505
42,98,4740.239746,48.369793
43,92,5317.065430,57.794189
44,107,5951.274414,55.619389
45,131,6811.224121,51.994076
46,103,5560.925781,53.989571
47,88,4683.324219,53.219593
48,83,4045.487793,48.740818
49,111,5409.560547,48.734779
50,84,4274.190918,50.883224
51,95,5054.409180,53.204308
52,84,4555.726562,54.234840
53,107,5545.680664,51.828793
54,82,4562.897461,55.645092
55,88,4544.135254,51.637901
56,92,4374.290527,47.546635
57,99,4586.606934,46.329365
58,89,4609.369629,51.790668
59,106,5428.744629,51.214573
60,124,6647.901367,53.612106
61,77,3757.592529,48.799904
62,74,3931.701660,53.131104
63,102,5137.386230,50.366531
64,98,4854.388184,49.534573
65,106,5900.375977,55.663925
66,85,4797.634766,56.442760
67,97,5244.760254,54.069695
68,94,4991.368164,53.099663
69,87,4491.719238,51.628956
70,101,4975.198242,49.259388
71,90,5119.112305,56.879025
72,90,5248.341797,58.314907
73,86,4262.933594,49.568996
74,93,4701.600098,50.554840
75,100,5139.315430,51.393154
76,101,5111.966797,50.613533
77,91,4693.674805,51.578842
78,94,4726.931152,50.286503
79,98,4943.467773,50.443550
80,87,4199.096191,48.265472
81,97,5439.818359,56.080601
82,88,4094.629150,46.529877
83,96,4600.242188,47.919189
84,108,5930.634277,54.913280
85,103,4923.753418,47.803432
86,91,4328.424316,47.565102
87,97,5409.200684,55.764954
88,95,4915.037598,51.737236
89,103,5122.431641,49.732346
90,118,6084.212891,51.561127
91,98,5050.805176,51.538830
92,98,5031.697266,51.343849
93,94,5170.345703,55.003677
94,108,5891.509766,54.551018
95,86,4843.311523,56.317577
96,113,6533.295410,57.816772
97,97,4827.160645,49.764542
98,90,4874.766602,54.164074
99,93,4785.620605,51.458286
100,135,6924.479004,51.292439
101,107,5697.869629,53.251118
102,104,5674.717285,54.564590
103,100,4885.827148,48.858273
104,91,4433.447754,48.719208
105,93,4502.281250,48.411625
106,107,5740.267578,53.647362
107,108,5819.710938,53.886211
108,102,5195.299316,50.934307
109,91,3762.297363,41.343925
110,102,5208.991211,51.068542
111,90,4838.433105,53.760368
112,108,5988.183594,55.446144
113,113,5095.013672,45.088615
114,87,5008.530762,57.569321
115,88,5006.811523,56.895584
116,93,4739.630371,50.963768
117,92,4991.316406,54.253441
118,93,4995.694336,53.717144
119,99,5076.468750,51.277462
120,94,4805.190918,51.119053
121,101,5416.771484,53.631401
122,74,3778.182129,51.056515
123,100,5593.769043,55.937691
124,88,4233.546875,48.108486
125,89,4883.871582,54.874962
126,103,5561.409180,53.994263
127,81,4196.607910,51.809975
128,110,5703.032715,51.845753
129,96,5030.498535,52.401028
130,80,4290.799316,53.634991
131,106,5743.617676,54.185074
132,95,4626.609863,48.701157
133,116,5584.375977,48.141171
134,93,4428.002930,47.612934
135,101,5401.061035,53.475853
136,114,5853.414551,51.345741
137,98,4778.989746,48.765202
138,108,5435.147461,50.325439
139,99,5119.818848,51.715343
140,103,4884.140137,47.418835
141,103,5276.809570,51.231159
142,102,5134.985840,50.342999
143,100,5068.320801,50.683208
144,88,4515.839355,51.316357
145,89,4516.232910,50.744190
146,106,5906.733398,55.723900
147,99,4989.662109,50.400627
148,77,4212.949219,54.713627
149,98,5225.443359,53.320850
150,94,5187.771484,55.189060
151,90,5207.488281,57.860981
152,99,5333.648926,53.875240
153,92,4755.652344,51.691872
154,93,4752.539062,51.102570
155,98,5321.263184,54.298603
156,94,5187.866699,55.190071
157,93,4925.950195,52.967205
158,107,5353.127441,50.029228
159,88,4546.171875,51.661045
160,89,3910.577881,43.939075
161,91,4504.620117,49.501320
162,97,5127.331543,52.859089
163,96,4936.634766,51.423279
164,94,4530.043457,48.191952
165,100,5357.187988,53.571880
166,90,4555.554199,50.617268
167,107,6160.790527,57.577480
168,91,4827.959961,53.054504
169,116,5968.058105,51.448776
170,81,4312.732422,53.243610
171,102,5405.270996,52.992851
172,98,4435.424316,45.259430
173,98,5085.096191,51.888737
174,84,4654.231934,55.407524
175,111,5985.977539,53.927727
176,84,4530.669434,53.936543
177,76,3979.363281,52.360043
178,89,4648.424316,52.229488
179,93,5099.949707,54.838169
180,97,4969.205566,51.228924
181,99,5096.539551,51.480198
182,105,5450.161133,51.906296
183,94,4694.453613,49.940994
184,84,4100.322266,48.813362
185,96,5437.949707,56.645309
186,100,5656.960938,56.569611
187,97,5153.678711,53.130707
188,88,4457.551758,50.653996
189,115,5997.372559,52.151066
190,92,4693.017578,51.011059
191,86,4689.948242,54.534283
192,89,4763.978516,53.527847
193,83,3936.742676,47.430634
194,94,4693.692871,49.932903
195,100,5281.674316,52.816742
196,96,5182.995117,53.989532
197,110,5249.991211,47.727192
198,94,4730.810059,50.327766
199,89,4855.470215,54.555843
200,74,3717.622314,50.238140
201,78,4005.254883,51.349422
202,113,5950.500488,52.659298
