region,count,sum,average
0,59,3256.875488,55.201279
1,49,2700.930176,55.121025
2,36,2236.392334,62.122009
3,55,2721.777100,49.486855
4,63,3329.381836,52.847332
5,48,2584.196045,53.837418
6,47,2337.413818,49.732208
7,44,2282.616943,51.877659
8,35,1621.755371,46.335869
9,40,2137.823486,53.445587
10,40,1879.182861,46.979572
11,50,2158.449219,43.168983
12,36,1795.134277,49.864841
13,54,2834.581543,52.492252
14,42,2106.858398,50.163296
15,37,2215.868652,59.888344
16,36,1913.997559,53.166599
17,47,2188.184570,46.557117
18,34,1665.003906,48.970703
19,39,2311.401611,59.266708
20,34,1343.291504,39.508575
21,45,2206.913086,49.042515
22,41,2355.865723,57.460140
23,61,3242.702393,53.159054
24,40,2096.244873,52.406120
25,56,2966.265869,52.969032
26,41,2079.563477,50.721062
27,55,3119.836182,56.724293
28,41,2191.151123,53.442711
29,51,2661.817383,52.192497
30,59,3182.768555,53.945229
31,51,3032.127686,59.453484
32,49,2357.668213,48.115677
33,96,4617.100586,48.094799
34,42,2310.807861,55.019234
35,54,2769.127197,51.280132
36,51,2744.299805,53.809799
37,59,3025.355469,51.277210
38,45,2249.975098,49.999447
39,45,2413.857178,53.641270
40,55,2884.439941,52.444363
41,41,1758.052979,42.879341
42,52,2416.553467,46.472183
43,51,2457.429688,48.184895
44,37,1783.411133,48.200302
45,57,2843.936035,49.893616
46,46,2360.319092,51.311283
47,51,2732.928467,53.586834
48,44,2338.913574,53.157127
49,51,2504.579102,49.109394
50,49,2843.994385,58.040703
51,43,2125.594727,49.432434
52,37,1982.831665,53.590046
53,46,2397.818848,52.126495
54,43,1928.605713,44.851295
55,33,1870.970337,56.696072
56,42,2144.899414,51.069035
57,43,2260.916748,52.579460
58,49,2426.536133,49.521145
59,57,3031.964600,53.192360
60,56,2804.885254,50.087238
61,45,2339.853271,51.996738
62,57,2743.578125,48.132950
63,47,2696.793213,57.378578
64,44,2324.412354,52.827553
65,55,2738.646973,49.793583
66,49,2400.636475,48.992580
67,49,2676.275146,54.617859
68,51,2477.518066,48.578785
69,40,1764.845093,44.121128
70,40,2202.298340,55.057457
71,52,2915.054443,56.058739
72,47,2592.905762,55.168209
73,48,2735.313965,56.985706
74,46,2870.169434,62.394989
75,46,2141.895508,46.562946
76,51,2795.597656,54.815639
77,41,2184.242432,53.274204
78,42,2181.307373,51.935890
79,36,1812.694458,50.352623
80,40,2093.509521,52.337738
81,41,2098.907715,51.192871
82,50,2527.265869,50.545319
83,45,2582.626953,57.391708
84,41,2186.158936,53.320950
85,51,2614.367188,51.262100
86,53,3020.131104,56.983604
87,55,2893.429932,52.607819
88,45,2378.244385,52.849876
89,46,2609.024414,56.717922
90,38,1912.763916,50.335892
91,40,1698.694458,42.467361
92,44,2363.014893,53.704884
93,55,2875.816650,52.287575
94,39,1841.806274,47.225803
95,47,2351.026611,50.021843
96,43,2125.697510,49.434826
97,48,2336.455322,48.676151
