region,count,sum,average
0,106,5379.11083984375,50.746328677771224
1,95,4777.990234375,50.29463404605263
2,92,4937.48974609375,53.66836680536685
3,83,4528.55322265625,54.56088220067771
4,81,4027.770751953125,49.72556483892747
5,100,5369.619140625,53.69619140625
6,102,5863.7109375,57.48736213235294
7,108,5916.703125,54.78428819444444
8,98,5191.55615234375,52.975062779017854
9,79,3690.65869140625,46.71719862539557
10,100,4933.8505859375,49.338505859375
11,97,5260.8330078125,54.235391833118555
12,102,5425.39453125,53.1901424632353
13,94,4946.9921875,52.62757646276596
14,103,5577.51025390625,54.150584989381066
15,88,4408.56494140625,50.09732887961648
16,102,5713.28076171875,56.01255648743872
17,96,4930.421875,51.358561197916664
18,88,4919.7744140625,55.90652743252841
19,77,3986.18603515625,51.76864980722402
20,123,6569.98583984375,53.414519023119915
21,87,4618.7001953125,53.0885079920977
22,94,4897.291015625,52.09884059175532
23,101,5947.71484375,58.88826577970297
24,98,5229.34912109375,53.36070531728316
25,98,5374.59423828125,54.842798349808675
26,88,4505.44970703125,51.19829212535512
27,92,4901.2138671875,53.27406377377717
28,83,4386.08203125,52.84436182228916
29,111,5897.74365234375,53.13282569679054
30,94,5170.12939453125,55.001376537566486
31,85,4287.634765625,50.44276194852941
32,94,5472.5849609375,58.21898894614362
33,193,10630.146484375,55.078479193652846
34,101,5028.5703125,49.78782487623762
35,104,6274.6494140625,60.33316744290865
36,92,4921.27587890625,53.492129118546195
37,101,5262.3681640625,52.102655089727726
38,88,4458.55419921875,50.6653886274858
39,87,5126.03271484375,58.91991626257184
40,89,4714.05859375,52.96695049157304
41,81,3924.41015625,48.449508101851855
42,98,4740.23974609375,48.369793327487244
43,92,5317.0654296875,57.794189453125
44,107,5951.27490234375,55.619391610689256
45,131,6811.22412109375,51.99407726025763
46,103,5560.92578125,53.98957069174757
47,88,4683.32373046875,53.2195878462358
48,83,4045.488037109375,48.74081972420934
49,111,5409.560546875,48.73477970157658
50,84,4274.19091796875,50.88322521391369
51,95,5054.4091796875,53.20430715460526
52,84,4555.7265625,54.234840029761905
53,107,5545.6806640625,51.82879125292056
54,82,4562.8974609375,55.645090987042686
55,88,4544.1357421875,51.63790616122159
56,92,4374.29052734375,47.54663616677989
57,99,4586.6064453125,46.3293580334596
58,89,4609.36962890625,51.79066998771067
59,106,5428.74462890625,51.21457197081368
60,124,6647.90185546875,53.61211173765121
61,77,3757.59228515625,48.79989980722402
62,74,3931.70166015625,53.131103515625
63,102,5137.38623046875,50.36653167126226
64,98,4854.38818359375,49.53457330197704
65,106,5900.3759765625,55.6639243071934
66,85,4797.634765625,56.44276194852941
67,97,5244.76025390625,54.06969333923969
68,94,4991.3681640625,53.099661319813826
69,87,4491.71875,51.62895114942529
70,101,4975.1982421875,49.2593885365099
71,90,5119.1123046875,56.87902560763889
72,90,5248.341796875,58.31490885416667
73,86,4262.93359375,49.56899527616279
74,93,4701.60009765625,50.554839759744624
75,100,5139.3154296875,51.393154296875
76,101,5111.966796875,50.61353264232673
77,91,4693.6748046875,51.57884400755494
78,94,4726.93115234375,50.286501620678195
79,98,4943.4677734375,50.44354870854592
80,87,4199.09619140625,48.26547346443966
81,97,5439.818359375,56.080601643041234
82,88,4094.629150390625,46.529876708984375
83,96,4600.2421875,47.919189453125
84,108,5930.634765625,54.913284866898145
85,103,4923.75341796875,47.80343124241505
86,91,4328.42431640625,47.56510237809066
87,97,5409.20068359375,55.764955500966494
88,95,4915.03759765625,51.73723787006579
89,103,5122.431640625,49.732346025485434
90,118,6084.212890625,51.56112619173729
91,98,5050.80517578125,51.53882832429847
92,98,5031.697265625,51.34384964923469
93,94,5170.34619140625,55.003682887300535
94,108,5891.5107421875,54.551025390625
95,86,4843.3115234375,56.31757585392442
96,113,6533.29541015625,57.816773541205755
97,97,4827.16015625,49.76453769329897
98,90,4874.7666015625,54.164073350694444
99,93,4785.62109375,51.45829133064516
100,135,6924.47900390625,51.29243706597222
101,107,5697.869140625,53.251113463785046
102,104,5674.71728515625,54.56458928034856
103,100,4885.8271484375,48.858271484375
104,91,4433.44775390625,48.71920608688187
105,93,4502.28125,48.411626344086024
106,107,5740.267578125,53.6473605432243
107,108,5819.7109375,53.88621238425926
108,102,5195.29931640625,50.934307023590684
109,91,3762.29736328125,41.34392706902472
110,102,5208.9912109375,51.06854128370098
111,90,4838.4326171875,53.76036241319444
112,108,5988.18359375,55.446144386574076
113,113,5095.013671875,45.08861656526549
114,87,5008.53125,57.56932471264368
115,88,5006.81103515625,56.89557994495738
116,93,4739.63037109375,50.96376743111559
117,92,4991.31689453125,54.25344450577445
118,93,4995.6943359375,53.717143397177416
119,99,5076.46875,51.277462121212125
120,94,4805.19091796875,51.119052318816486
121,101,5416.771484375,53.631400835396036
122,74,3778.18212890625,51.05651525548986
123,100,5593.76904296875,55.9376904296875
124,88,4233.546875,48.10848721590909
125,89,4883.87158203125,54.87496159585674
126,103,5561.4091796875,53.99426388046116
127,81,4196.60791015625,51.80997419945987
128,110,5703.0322265625,51.84574751420455
129,96,5030.49853515625,52.4010264078776
130,80,4290.79931640625,53.63499145507812
131,106,5743.6181640625,54.185077019457545
132,95,4626.60986328125,48.701156455592105
133,116,5584.37548828125,48.14116800242457
134,93,4428.0029296875,47.612934727822584
135,101,5401.06103515625,53.475851833230195
136,114,5853.41455078125,51.34574167351974
137,98,4778.9892578125,48.76519650829081
138,108,5435.1474609375,50.325439453125
139,99,5119.818359375,51.71533696338384
140,103,4884.14013671875,47.418836278822816
141,103,5276.8095703125,51.23116087682039
142,102,5134.98583984375,50.342998429840684
143,100,5068.3212890625,50.683212890625
144,88,4515.83935546875,51.31635631214488
145,89,4516.232421875,50.74418451544944
