region,count,sum,average
0,59,3256.87548828125,55.20127946239407
1,49,2700.93017578125,55.121023995535715
2,36,2236.392333984375,62.12200927734375
3,55,2721.777099609375,49.48685635653409
4,63,3329.3818359375,52.847330729166664
5,48,2584.196044921875,53.83741760253906
6,47,2337.413818359375,49.7322089012633
7,44,2282.616943359375,51.87765780362216
8,35,1621.75537109375,46.335867745535715
9,40,2137.823486328125,53.445587158203125
10,40,1879.182861328125,46.97957153320313
11,50,2158.44921875,43.168984375
12,36,1795.13427734375,49.864841037326386
13,54,2834.581298828125,52.492246274594905
14,42,2106.8583984375,50.163295200892854
15,37,2215.86865234375,59.888341955236484
16,36,1913.997802734375,53.166605631510414
17,47,2188.1845703125,46.557118517287236
18,34,1665.0037841796875,48.97069953469669
19,39,2311.401611328125,59.26670798277244
20,34,1343.2913818359375,39.50857005399816
21,45,2206.9130859375,49.04251302083333
22,41,2355.86572265625,57.46013957698171
23,61,3242.702392578125,53.159055616034834
24,40,2096.244873046875,52.406121826171876
25,56,2966.265869140625,52.96903337751116
26,41,2079.5634765625,50.72106040396341
27,55,3119.83642578125,56.72429865056818
28,41,2191.151123046875,53.44271031821646
29,51,2661.8173828125,52.192497702205884
30,59,3182.7685546875,53.945229740466104
31,51,3032.127685546875,59.453484030330884
32,49,2357.668212890625,48.11567781409439
33,96,4617.1005859375,48.09479777018229
34,42,2310.80810546875,55.01924060639881
35,54,2769.127197265625,51.28013328269676
36,51,2744.2998046875,53.80980009191177
37,59,3025.355224609375,51.27720719676907
38,45,2249.97509765625,49.999446614583334
39,45,2413.857177734375,53.641270616319446
40,55,2884.43994140625,52.44436257102273
41,41,1758.0531005859375,42.879343916730186
42,52,2416.553466796875,46.47218205378606
43,51,2457.4296875,48.184895833333336
44,37,1783.4111328125,48.20030088682432
45,57,2843.93603515625,49.893614651864034
46,46,2360.319091796875,51.31128460427989
47,51,2732.9287109375,53.58683746936274
48,44,2338.91357421875,53.15712668678977
49,51,2504.5791015625,49.109394148284316
50,49,2843.994384765625,58.040701729910715
51,43,2125.5947265625,49.43243550145349
52,37,1982.8316650390625,53.59004500105574
53,46,2397.818603515625,52.12649138077445
54,43,1928.605712890625,44.851295648619185
55,33,1870.9703369140625,56.69607081557765
56,42,2144.8994140625,51.06903366815476
57,43,2260.9169921875,52.57946493459303
58,49,2426.5361328125,49.52114556760204
59,57,3031.964599609375,53.1923613966557
60,56,2804.88525390625,50.08723667689732
61,45,2339.853271484375,51.996739366319446
62,57,2743.578125,48.13294956140351
63,47,2696.793212890625,57.378578997672875
64,44,2324.412353515625,52.82755348899148
65,55,2738.64697265625,49.79358132102273
66,49,2400.636474609375,48.99258111447704
67,49,2676.275146484375,54.61786013233419
68,51,2477.51806640625,48.578785615808826
69,40,1764.8450927734375,44.12112731933594
70,40,2202.29833984375,55.05745849609375
71,52,2915.054443359375,56.0587392953726
72,47,2592.90576171875,55.16820769614362
73,48,2735.31396484375,56.98570760091146
74,46,2870.16943359375,62.39498768682065
75,46,2141.8955078125,46.56294582201087
76,51,2795.59765625,54.81564031862745
77,41,2184.242431640625,53.27420564977134
78,42,2181.307373046875,51.935889834449405
79,36,1812.6944580078125,50.352623833550346
80,40,2093.509521484375,52.337738037109375
81,41,2098.90771484375,51.19287109375
82,50,2527.265869140625,50.5453173828125
83,45,2582.626708984375,57.391704644097224
84,41,2186.158935546875,53.32094964748475
85,51,2614.3671875,51.26210171568628
86,53,3020.131103515625,56.983605726709904
87,55,2893.429931640625,52.60781693892046
88,45,2378.244384765625,52.84987521701389
89,46,2609.0244140625,56.71792204483695
90,38,1912.763916015625,50.33589252672697
91,40,1698.6944580078125,42.46736145019531
92,44,2363.01513671875,53.70488947088068
93,55,2875.816650390625,52.28757546164773
94,39,1841.8062744140625,47.22580190805289
95,47,2351.026611328125,50.021842794215424
96,43,2125.697509765625,49.43482580850291
97,48,2336.455322265625,48.67615254720052
